Életkor,Nem,Osztályzat_9,Osztályzat_10,Osztályzat_11,Osztályzat_12,Történelem,Matematika,Magyar Nyelv és Irodalom,Informatika,Biológia,Fizika,Angol,Német,Informatika_emelt,Biológia_emelt,Fizika_emelt,Angol_emelt,Német_emelt,Matematika_emelt,Történelem_emelt,Magyar Nyelv és Irodalom_emelt,Szülői Végzettség,Középiskola Presztízse,Extrakurrikuláris Tevékenységek,Tanulási Szokások,Munkatapasztalat,Ajánlások Száma,Versenyeken Való Részvétel,Vármegye,Felvételi Eredmény,ID
19,0,4.5,3.75,3.5,3.5,86,98,79,91,-1,-1,78,-1,0,-1,-1,1,-1,1,0,0,1,6.53,1,5,0,1,1,Zala Vármegye,1.0,638
19,1,3.75,3.5,4.25,3.75,86,83,98,84,-1,-1,77,-1,0,-1,-1,0,-1,0,1,0,2,6.87,1,5,1,1,0,Heves Vármegye,0.0,639
18,1,2.75,3.75,4.25,4.0,67,75,79,89,-1,-1,86,-1,0,-1,-1,0,-1,0,0,0,4,8.81,1,5,0,1,0,Szabolcs-Szatmár-Bereg Vármegye,0.0,640
19,0,3.75,4.75,4.0,4.25,85,98,93,79,-1,-1,79,-1,1,-1,-1,0,-1,0,1,0,2,7.2,1,5,0,2,1,Vas Vármegye,1.0,641
19,1,3.75,4.25,4.25,4.5,86,96,97,-1,-1,57,-1,96,-1,-1,0,-1,0,0,0,0,3,6.67,1,4,0,2,0,Békés Vármegye,0.0,642
17,1,4.0,5.0,4.0,4.75,80,92,99,-1,-1,97,-1,73,-1,-1,1,-1,0,0,0,1,1,2.14,0,5,1,3,1,Zala Vármegye,1.0,643
17,1,4.25,3.5,4.0,4.0,100,91,84,-1,97,-1,-1,84,-1,0,-1,-1,0,0,1,0,1,4.13,1,3,0,1,1,Csongrád Vármegye,0.0,644
19,0,4.25,3.75,3.5,4.0,70,97,82,79,-1,-1,-1,62,1,-1,-1,-1,0,0,1,0,2,4.67,0,5,0,3,0,Budapest,1.0,645
17,0,4.5,4.25,4.75,3.5,92,75,85,-1,-1,63,-1,83,-1,-1,0,-1,0,1,0,0,5,9.37,0,1,0,1,0,Heves Vármegye,0.0,646
18,0,4.25,3.75,3.5,2.75,81,45,52,-1,-1,73,75,-1,-1,-1,0,1,-1,0,0,0,3,7.9,0,5,0,1,1,Tolna Vármegye,0.0,647
18,1,3.25,4.5,3.0,4.5,76,85,80,-1,-1,75,-1,72,-1,-1,0,-1,0,0,1,0,3,7.79,0,5,0,1,1,Zala Vármegye,0.0,648
18,1,4.25,3.75,3.25,4.75,82,72,79,96,-1,-1,89,-1,0,-1,-1,1,-1,0,1,0,2,6.16,0,4,0,4,0,Veszprém Vármegye,0.0,649
18,1,4.25,3.25,4.75,4.0,74,66,90,-1,-1,90,74,-1,-1,-1,0,0,-1,0,1,0,1,4.27,1,6,0,2,1,Borsod-Abaúj-Zemplén Vármegye,0.0,650
18,0,4.5,4.0,3.25,3.25,63,97,81,83,-1,-1,85,-1,0,-1,-1,1,-1,1,0,0,2,3.72,1,3,0,4,1,Zala Vármegye,1.0,651
17,1,3.5,4.0,3.75,4.75,71,70,98,79,-1,-1,-1,84,0,-1,-1,-1,1,0,0,0,2,4.33,1,5,0,4,1,Zala Vármegye,0.0,652
18,1,3.25,4.25,4.75,4.5,84,92,78,-1,-1,75,70,-1,-1,-1,0,1,-1,0,1,0,2,4.74,1,3,0,1,1,Baranya Vármegye,0.0,653
18,1,3.25,3.75,3.25,3.5,88,94,91,-1,75,-1,-1,92,-1,0,-1,-1,0,0,0,0,2,6.33,1,2,0,2,0,Baranya Vármegye,0.0,654
19,1,3.75,3.0,4.25,4.75,69,77,47,82,-1,-1,76,-1,0,-1,-1,1,-1,0,0,0,3,6.77,0,5,0,1,1,Fejér Vármegye,1.0,655
18,1,4.0,3.75,4.25,4.5,96,92,65,-1,-1,84,88,-1,-1,-1,0,1,-1,0,0,0,2,4.76,0,5,0,2,0,Bács-Kiskun Vármegye,0.0,656
18,0,3.25,4.25,5.0,2.5,76,94,80,85,-1,-1,-1,90,1,-1,-1,-1,0,0,0,0,3,7.43,1,4,0,2,0,Baranya Vármegye,1.0,657
18,1,2.5,3.75,2.75,3.5,93,80,83,63,-1,-1,97,-1,1,-1,-1,1,-1,0,0,0,2,3.56,1,7,0,2,0,Budapest,0.0,658
18,0,4.0,4.75,4.5,3.75,94,91,92,-1,-1,73,56,-1,-1,-1,0,0,-1,0,0,0,3,4.36,1,8,1,1,0,Zala Vármegye,0.0,659
18,1,3.0,4.25,3.25,3.75,89,75,82,-1,69,-1,58,-1,-1,0,-1,1,-1,0,1,0,1,5.36,0,3,0,2,0,Veszprém Vármegye,0.0,660
19,0,4.0,4.75,2.75,4.25,78,75,76,-1,-1,82,64,-1,-1,-1,0,0,-1,1,0,0,3,6.5,0,3,0,3,0,Budapest,1.0,661
19,1,2.75,4.75,4.25,4.25,83,82,79,81,-1,-1,-1,90,0,-1,-1,-1,0,0,0,0,1,3.54,0,8,0,1,0,Tolna Vármegye,0.0,662
19,1,3.5,4.25,3.0,4.25,77,91,84,91,-1,-1,77,-1,1,-1,-1,0,-1,0,1,0,4,8.43,1,3,0,2,1,Pest Vármegye,1.0,663
19,0,4.5,4.0,3.75,4.25,81,61,86,69,-1,-1,-1,75,0,-1,-1,-1,0,1,0,0,2,4.72,0,6,0,3,0,Tolna Vármegye,0.0,664
17,0,4.75,4.5,4.25,4.25,82,83,70,68,-1,-1,92,-1,1,-1,-1,0,-1,0,0,0,2,3.16,0,5,0,4,0,Borsod-Abaúj-Zemplén Vármegye,0.0,665
18,1,4.25,4.0,4.5,2.75,95,76,84,83,-1,-1,92,-1,0,-1,-1,1,-1,1,0,0,2,4.19,0,4,0,1,1,Zala Vármegye,0.0,666
19,0,3.5,4.25,3.5,4.0,86,91,91,-1,-1,82,70,-1,-1,-1,0,1,-1,1,0,0,4,8.12,1,4,0,1,0,Budapest,1.0,667
17,0,4.0,3.25,3.0,4.5,54,78,52,55,-1,-1,82,-1,0,-1,-1,0,-1,0,1,1,4,9.39,0,1,0,3,0,Budapest,0.0,668
18,0,4.0,4.5,4.5,4.0,58,80,73,-1,-1,80,-1,85,-1,-1,1,-1,0,0,0,0,4,7.26,0,5,0,1,1,Zala Vármegye,1.0,669
19,0,5.0,4.25,3.75,3.25,80,81,91,94,-1,-1,64,-1,0,-1,-1,1,-1,0,0,0,3,7.83,0,4,0,1,0,Pest Vármegye,1.0,670
18,1,4.25,4.75,4.75,3.0,82,81,90,-1,91,-1,-1,96,-1,0,-1,-1,0,0,1,0,3,6.8,1,2,0,4,0,Budapest,0.0,671
18,0,3.25,4.25,2.75,4.25,77,88,78,86,-1,-1,88,-1,0,-1,-1,0,-1,0,1,1,3,6.97,0,4,0,4,1,Komárom-Esztergom Vármegye,1.0,672
17,1,4.25,4.0,3.5,3.5,90,87,75,73,-1,-1,-1,85,0,-1,-1,-1,0,0,1,0,3,7.65,0,5,0,3,0,Pest Vármegye,0.0,673
17,0,3.5,3.5,2.75,3.0,66,77,91,-1,-1,73,88,-1,-1,-1,0,0,-1,1,0,0,3,7.66,1,1,0,4,0,Komárom-Esztergom Vármegye,0.0,674
19,1,3.75,4.0,4.0,3.25,71,63,70,84,-1,-1,54,-1,1,-1,-1,0,-1,0,1,0,2,6.08,1,7,0,2,0,Budapest,1.0,675
18,1,2.5,4.5,5.0,4.25,83,86,92,99,-1,-1,99,-1,0,-1,-1,0,-1,1,0,1,3,5.19,1,4,0,3,0,Baranya Vármegye,1.0,676
19,1,4.0,4.25,4.5,3.75,95,96,97,87,-1,-1,95,-1,0,-1,-1,0,-1,0,1,0,3,5.26,1,1,0,2,0,Nógrád Vármegye,0.0,677
18,1,3.5,4.75,4.75,4.0,76,44,83,54,-1,-1,82,-1,0,-1,-1,1,-1,0,1,0,2,2.62,1,2,0,1,0,Baranya Vármegye,0.0,678
19,1,4.25,4.5,3.5,4.25,94,84,80,77,-1,-1,85,-1,0,-1,-1,1,-1,0,0,0,3,6.71,1,5,0,2,0,Borsod-Abaúj-Zemplén Vármegye,0.0,679
19,1,4.75,3.25,5.0,4.25,75,70,67,-1,-1,77,-1,60,-1,-1,1,-1,0,0,0,0,3,5.0,0,6,0,2,0,Zala Vármegye,0.0,680
17,1,4.0,4.75,3.75,3.0,95,79,86,68,-1,-1,85,-1,0,-1,-1,0,-1,0,0,1,2,4.07,0,3,1,2,0,Bács-Kiskun Vármegye,0.0,681
19,1,4.25,4.25,3.75,3.25,86,66,40,-1,-1,54,56,-1,-1,-1,0,1,-1,0,0,0,3,5.89,0,5,0,1,1,Vas Vármegye,0.0,682
18,1,4.75,4.75,3.75,4.0,60,95,78,-1,-1,83,93,-1,-1,-1,0,0,-1,0,0,0,1,7.31,1,4,1,2,0,Somogy Vármegye,0.0,683
17,1,4.25,4.75,4.5,2.75,80,55,88,80,-1,-1,73,-1,0,-1,-1,0,-1,0,1,0,2,7.25,0,5,0,1,0,Budapest,0.0,684
19,1,4.5,4.25,2.75,4.0,59,42,87,-1,-1,70,90,-1,-1,-1,0,0,-1,1,1,0,3,4.82,0,5,0,2,0,Vas Vármegye,0.0,685
17,0,3.25,3.0,3.0,4.0,86,96,62,-1,-1,85,79,-1,-1,-1,1,0,-1,1,0,0,4,7.62,0,5,0,2,0,Budapest,1.0,686
18,0,4.25,3.75,4.25,3.25,90,94,86,95,-1,-1,-1,80,0,-1,-1,-1,0,0,1,1,2,4.2,1,3,0,3,0,Somogy Vármegye,0.0,687
19,0,4.0,4.25,4.0,3.75,95,65,90,74,-1,-1,53,-1,1,-1,-1,1,-1,0,0,0,1,2.97,0,7,0,4,1,Zala Vármegye,0.0,688
17,0,4.5,3.5,2.75,5.0,76,90,92,69,-1,-1,-1,91,1,-1,-1,-1,0,0,0,0,2,4.35,1,6,0,3,0,Budapest,1.0,689
18,0,4.25,4.5,4.25,3.75,90,60,97,-1,-1,91,79,-1,-1,-1,1,1,-1,0,0,0,1,4.2,1,6,0,1,0,Zala Vármegye,0.0,690
19,0,4.5,4.75,3.75,3.0,79,56,71,-1,-1,78,79,-1,-1,-1,0,0,-1,1,0,1,2,5.93,0,7,0,1,0,Baranya Vármegye,0.0,691
19,0,4.5,4.25,4.5,3.75,86,74,80,82,-1,-1,97,-1,0,-1,-1,1,-1,1,0,0,3,4.57,1,3,0,2,0,Budapest,1.0,692
18,0,3.75,4.75,4.25,4.5,62,59,63,77,-1,-1,72,-1,0,-1,-1,1,-1,0,0,0,2,5.54,0,4,0,1,1,Pest Vármegye,0.0,693
19,0,3.75,3.5,4.5,4.0,96,97,88,97,-1,-1,93,-1,1,-1,-1,0,-1,0,0,0,2,8.14,1,4,0,1,0,Heves Vármegye,1.0,694
18,0,3.0,4.0,4.5,4.75,67,95,95,94,-1,-1,-1,93,0,-1,-1,-1,1,1,0,0,3,6.01,1,5,0,1,0,Budapest,1.0,695
18,1,3.25,4.25,3.75,3.25,65,55,80,-1,-1,45,85,-1,-1,-1,0,1,-1,0,0,1,1,3.99,0,4,0,1,0,Budapest,0.0,696
17,1,4.25,2.5,3.25,4.75,85,96,86,78,-1,-1,93,-1,0,-1,-1,1,-1,0,0,0,2,6.35,0,5,0,1,0,Budapest,0.0,697
17,1,3.25,4.0,4.25,4.5,89,68,86,95,-1,-1,79,-1,0,-1,-1,1,-1,1,0,0,1,2.17,1,2,0,6,0,Zala Vármegye,0.0,698
19,0,4.0,4.0,4.5,4.75,92,96,91,90,-1,-1,75,-1,0,-1,-1,1,-1,0,0,0,3,5.43,0,6,0,1,0,Szabolcs-Szatmár-Bereg Vármegye,0.0,699
17,1,4.25,3.25,4.0,4.0,65,56,66,33,-1,-1,-1,45,1,-1,-1,-1,0,0,1,0,3,7.46,0,4,1,1,0,Bács-Kiskun Vármegye,0.0,700
19,0,3.5,3.75,3.75,4.0,89,77,93,89,-1,-1,83,-1,1,-1,-1,0,-1,0,0,0,2,6.2,0,3,0,1,0,Baranya Vármegye,0.0,701
17,0,3.25,3.75,3.25,3.75,69,89,75,86,-1,-1,-1,66,0,-1,-1,-1,0,0,1,0,4,8.46,0,5,1,1,0,Hajdú-Bihar Vármegye,0.0,702
18,0,4.75,3.75,4.25,4.75,89,69,81,-1,68,-1,90,-1,-1,0,-1,0,-1,1,0,0,3,6.19,1,3,0,2,1,Zala Vármegye,0.0,703
18,1,4.0,3.75,2.5,4.75,86,93,94,88,-1,-1,-1,83,1,-1,-1,-1,0,0,1,0,3,6.2,1,3,0,3,0,Hajdú-Bihar Vármegye,0.0,704
17,0,3.0,3.5,3.0,3.75,81,67,72,85,-1,-1,87,-1,0,-1,-1,1,-1,0,0,1,1,3.92,1,4,0,3,0,Budapest,0.0,705
18,1,4.25,4.0,3.75,3.0,97,85,91,91,-1,-1,91,-1,1,-1,-1,0,-1,0,1,0,3,4.1,0,3,0,1,0,Békés Vármegye,0.0,706
17,1,3.75,3.25,4.75,4.5,98,69,96,-1,72,-1,81,-1,-1,0,-1,0,-1,0,1,1,3,4.36,0,4,0,2,0,Békés Vármegye,0.0,707
19,1,3.5,3.75,3.5,4.75,71,74,90,-1,-1,68,81,-1,-1,-1,0,1,-1,0,1,0,2,7.96,0,3,0,2,0,Nógrád Vármegye,0.0,708
19,1,3.75,3.75,3.0,4.25,95,90,90,-1,-1,65,82,-1,-1,-1,0,1,-1,0,0,0,3,5.27,0,6,0,1,0,Somogy Vármegye,0.0,709
17,1,3.0,3.75,3.25,4.75,59,70,58,89,-1,-1,61,-1,1,-1,-1,0,-1,0,0,1,3,5.57,0,2,1,6,0,Bács-Kiskun Vármegye,1.0,710
19,0,4.0,4.75,4.75,4.5,77,85,59,95,-1,-1,-1,84,0,-1,-1,-1,0,1,0,0,3,9.6,0,6,0,2,0,Komárom-Esztergom Vármegye,1.0,711
19,1,4.0,3.0,4.25,3.5,61,79,48,78,-1,-1,60,-1,1,-1,-1,0,-1,1,0,0,2,4.38,1,1,1,1,1,Jász-Nagykun-Szolnok Vármegye,1.0,712
19,0,4.0,3.25,4.25,3.75,83,91,78,-1,94,-1,80,-1,-1,0,-1,1,-1,0,0,0,1,4.75,1,2,0,1,0,Borsod-Abaúj-Zemplén Vármegye,0.0,713
19,0,3.25,4.25,4.0,4.25,94,93,98,-1,99,-1,81,-1,-1,0,-1,1,-1,0,0,0,1,3.63,1,4,0,1,1,Veszprém Vármegye,0.0,714
17,0,4.0,3.25,3.75,3.25,73,93,78,36,-1,-1,-1,73,0,-1,-1,-1,0,1,0,0,2,5.09,0,3,0,1,0,Zala Vármegye,0.0,715
18,0,3.0,3.0,4.0,3.75,88,88,67,86,-1,-1,-1,52,0,-1,-1,-1,0,0,0,1,1,4.3,0,2,0,1,0,Tolna Vármegye,0.0,716
19,0,4.0,4.0,4.5,4.25,70,67,82,66,-1,-1,87,-1,0,-1,-1,0,-1,0,0,0,2,3.61,0,2,0,1,0,Baranya Vármegye,0.0,717
18,0,3.5,4.75,3.0,4.0,87,72,97,82,-1,-1,-1,69,0,-1,-1,-1,0,1,0,1,3,7.14,1,4,0,1,0,Budapest,1.0,718
19,0,3.5,4.75,4.75,2.0,70,68,52,30,-1,-1,61,-1,1,-1,-1,1,-1,0,0,0,3,8.8,0,6,1,2,1,Borsod-Abaúj-Zemplén Vármegye,0.0,719
19,0,3.0,4.0,3.0,4.5,86,64,91,68,-1,-1,-1,92,0,-1,-1,-1,0,0,0,1,5,9.07,1,4,0,2,0,Somogy Vármegye,0.0,720
19,0,3.0,4.25,3.75,2.5,81,72,48,-1,-1,55,48,-1,-1,-1,0,0,-1,0,1,0,3,8.41,0,6,0,4,0,Békés Vármegye,0.0,721
18,1,4.0,4.5,3.5,4.25,83,97,96,100,-1,-1,89,-1,1,-1,-1,1,-1,0,0,0,1,3.01,1,2,0,3,1,Baranya Vármegye,1.0,722
17,0,4.25,3.75,4.0,3.75,91,91,87,-1,-1,81,81,-1,-1,-1,0,1,-1,0,0,1,2,5.41,1,4,0,1,0,Nógrád Vármegye,0.0,723
18,1,3.25,4.75,4.75,3.5,91,86,85,-1,93,-1,85,-1,-1,0,-1,1,-1,1,0,0,3,4.01,1,3,0,2,1,Budapest,1.0,724
17,1,2.75,3.25,3.25,2.25,79,68,62,55,-1,-1,59,-1,0,-1,-1,0,-1,0,0,1,3,8.47,0,3,0,2,0,Budapest,0.0,725
19,0,2.75,3.0,3.25,4.0,67,91,82,-1,-1,44,87,-1,-1,-1,0,1,-1,0,0,0,2,5.7,1,4,0,3,0,Hajdú-Bihar Vármegye,0.0,726
17,1,3.5,3.0,3.0,3.25,82,56,58,-1,93,-1,62,-1,-1,0,-1,0,-1,0,0,1,3,4.48,1,3,0,2,0,Bács-Kiskun Vármegye,0.0,727
17,1,3.5,3.75,4.5,4.0,83,78,65,-1,80,-1,97,-1,-1,0,-1,1,-1,0,1,0,3,4.97,1,6,0,3,0,Békés Vármegye,0.0,728
19,1,2.75,3.5,2.75,4.25,71,89,79,-1,62,-1,-1,58,-1,1,-1,-1,0,0,1,0,2,5.02,0,5,0,5,0,Tolna Vármegye,0.0,729
17,0,3.5,3.75,4.5,4.0,58,77,72,-1,-1,80,-1,98,-1,-1,0,-1,0,0,0,1,2,7.99,0,4,0,4,0,Szabolcs-Szatmár-Bereg Vármegye,0.0,730
17,1,4.0,3.25,4.0,3.25,58,97,64,-1,-1,65,93,-1,-1,-1,0,1,-1,0,1,0,2,7.54,1,5,0,3,0,Baranya Vármegye,0.0,731
19,0,4.25,3.25,4.0,3.75,90,66,86,-1,-1,70,83,-1,-1,-1,0,1,-1,0,0,0,1,4.83,0,2,0,1,0,Bács-Kiskun Vármegye,0.0,732
18,0,3.25,4.75,3.25,3.75,89,87,98,98,-1,-1,-1,97,0,-1,-1,-1,0,0,1,0,2,6.72,1,5,0,3,0,Csongrád Vármegye,0.0,733
18,0,3.75,4.5,3.0,4.75,88,70,92,-1,-1,73,77,-1,-1,-1,1,0,-1,0,1,0,3,6.1,1,6,0,2,1,Csongrád Vármegye,1.0,734
17,0,3.25,4.0,3.75,4.75,85,91,99,96,-1,-1,99,-1,0,-1,-1,0,-1,1,0,1,5,9.26,0,4,0,2,0,Nógrád Vármegye,1.0,735
18,1,4.0,2.75,3.0,3.25,68,93,85,-1,-1,73,58,-1,-1,-1,0,1,-1,0,1,0,3,5.52,0,5,0,4,0,Heves Vármegye,0.0,736
18,1,4.25,3.5,4.25,4.75,96,66,79,93,-1,-1,55,-1,1,-1,-1,0,-1,0,1,0,2,5.01,1,4,0,3,0,Szabolcs-Szatmár-Bereg Vármegye,0.0,737
17,1,2.5,2.75,2.25,4.5,79,77,80,-1,-1,66,33,-1,-1,-1,0,0,-1,0,0,1,2,4.24,0,4,0,3,1,Nógrád Vármegye,0.0,738
19,1,3.25,4.75,2.75,3.5,54,55,75,52,-1,-1,86,-1,0,-1,-1,0,-1,0,1,0,2,1.0,1,5,1,3,1,Vas Vármegye,0.0,739
17,1,4.25,3.75,3.0,4.25,59,75,75,-1,63,-1,-1,88,-1,0,-1,-1,0,0,0,0,3,6.47,0,4,0,4,0,Győr-Moson-Sopron Vármegye,0.0,740
18,0,3.75,3.0,4.5,4.25,94,90,78,68,-1,-1,82,-1,0,-1,-1,0,-1,1,0,0,2,6.03,1,5,0,1,0,Budapest,1.0,741
19,0,4.0,4.0,4.75,4.25,69,72,77,-1,-1,74,89,-1,-1,-1,0,1,-1,1,0,0,2,5.21,0,4,0,1,1,Zala Vármegye,1.0,742
17,0,4.25,4.5,4.0,3.75,93,51,69,-1,-1,62,48,-1,-1,-1,0,1,-1,0,0,0,2,5.3,0,4,0,3,1,Győr-Moson-Sopron Vármegye,0.0,743
18,1,3.75,3.5,4.5,3.5,97,98,95,100,-1,-1,-1,84,1,-1,-1,-1,0,0,1,0,2,5.07,1,3,0,4,0,Budapest,1.0,744
19,0,4.5,4.75,4.25,4.25,80,59,74,96,-1,-1,62,-1,1,-1,-1,0,-1,0,1,0,3,6.55,1,4,0,3,1,Jász-Nagykun-Szolnok Vármegye,1.0,745
19,1,3.5,4.25,3.5,4.75,80,79,89,-1,87,-1,94,-1,-1,0,-1,0,-1,0,0,1,2,3.31,1,4,0,2,1,Békés Vármegye,0.0,746
18,1,3.25,3.25,3.75,3.0,77,89,81,-1,-1,83,-1,78,-1,-1,0,-1,0,0,0,0,3,5.78,1,4,0,1,0,Borsod-Abaúj-Zemplén Vármegye,0.0,747
18,0,3.75,3.75,4.75,4.75,85,90,64,76,-1,-1,-1,85,1,-1,-1,-1,0,0,1,0,3,7.51,1,5,0,2,0,Pest Vármegye,0.0,748
19,0,3.0,3.75,4.25,2.75,66,93,84,-1,94,-1,-1,92,-1,0,-1,-1,0,1,0,0,2,3.0,1,4,0,2,0,Veszprém Vármegye,0.0,749
18,0,4.0,3.0,3.25,4.25,96,93,64,99,-1,-1,80,-1,1,-1,-1,0,-1,0,0,1,1,5.47,0,5,0,1,1,Budapest,1.0,750
17,1,3.5,4.0,4.25,3.25,50,63,72,-1,91,-1,67,-1,-1,0,-1,0,-1,0,1,0,1,1.81,1,3,0,1,0,Komárom-Esztergom Vármegye,0.0,751
17,0,4.0,4.75,4.0,3.75,86,77,95,87,-1,-1,89,-1,0,-1,-1,1,-1,0,0,0,2,4.76,0,6,0,3,0,Borsod-Abaúj-Zemplén Vármegye,0.0,752
19,0,3.75,2.75,4.75,2.0,69,61,95,-1,-1,61,66,-1,-1,-1,0,0,-1,0,0,0,2,3.75,1,3,0,1,0,Budapest,0.0,753
18,1,4.0,3.25,4.0,2.75,76,65,72,-1,62,-1,86,-1,-1,0,-1,0,-1,0,0,1,3,5.69,0,8,0,5,0,Heves Vármegye,0.0,754
19,1,3.5,3.75,3.75,4.5,73,44,74,70,-1,-1,64,-1,0,-1,-1,0,-1,1,0,1,3,6.58,0,4,0,1,0,Zala Vármegye,0.0,755
17,1,3.75,3.5,4.5,3.5,62,77,80,78,-1,-1,86,-1,0,-1,-1,1,-1,0,1,0,1,2.78,1,6,0,1,0,Budapest,0.0,756
17,0,3.25,4.75,4.25,3.25,94,94,49,-1,94,-1,60,-1,-1,0,-1,0,-1,0,0,1,2,7.52,1,3,0,5,0,Bács-Kiskun Vármegye,0.0,757
17,1,3.0,4.25,4.5,4.0,77,71,83,90,-1,-1,79,-1,0,-1,-1,0,-1,0,0,1,2,6.37,1,6,0,1,0,Nógrád Vármegye,0.0,758
18,0,3.5,4.0,4.5,4.5,76,76,82,-1,-1,90,80,-1,-1,-1,0,1,-1,0,1,0,3,5.6,1,6,0,4,1,Budapest,1.0,759
17,1,4.75,4.0,4.25,4.5,79,84,63,98,-1,-1,92,-1,0,-1,-1,1,-1,1,0,0,3,6.98,1,4,1,1,1,Borsod-Abaúj-Zemplén Vármegye,1.0,760
18,0,5.0,3.75,4.25,4.0,80,71,96,-1,-1,76,-1,82,-1,-1,0,-1,0,0,1,1,3,5.07,0,5,0,5,0,Heves Vármegye,0.0,761
17,0,4.75,3.25,3.5,3.5,73,74,92,80,-1,-1,96,-1,0,-1,-1,1,-1,1,0,0,3,8.2,0,4,0,1,1,Baranya Vármegye,1.0,762
17,0,4.25,3.0,4.25,3.0,85,68,75,-1,-1,87,-1,92,-1,-1,0,-1,0,0,0,0,2,6.38,0,4,0,4,0,Győr-Moson-Sopron Vármegye,0.0,763
19,1,4.5,3.5,4.0,3.75,44,74,96,79,-1,-1,72,-1,1,-1,-1,1,-1,0,0,0,4,7.8,0,3,0,1,0,Csongrád Vármegye,0.0,764
19,0,4.75,3.75,4.5,4.5,69,92,85,-1,-1,77,82,-1,-1,-1,0,1,-1,0,1,0,2,4.07,0,5,0,2,0,Somogy Vármegye,0.0,765
17,0,4.5,3.5,4.0,4.25,86,90,82,-1,97,-1,-1,84,-1,0,-1,-1,1,0,0,0,3,6.75,0,6,0,1,0,Borsod-Abaúj-Zemplén Vármegye,0.0,766
19,1,4.25,3.0,3.75,4.25,71,89,56,-1,82,-1,-1,98,-1,0,-1,-1,0,0,0,0,2,6.42,0,2,0,4,1,Zala Vármegye,0.0,767
18,0,3.75,3.0,3.75,3.75,95,70,69,80,-1,-1,-1,77,0,-1,-1,-1,0,0,0,1,1,4.24,1,7,0,3,1,Fejér Vármegye,1.0,768
18,0,4.5,4.25,4.75,4.25,79,67,72,91,-1,-1,79,-1,1,-1,-1,1,-1,0,0,0,3,7.66,0,4,1,1,1,Budapest,1.0,769
17,0,4.75,4.75,4.5,3.0,66,88,81,78,-1,-1,94,-1,0,-1,-1,1,-1,0,0,0,3,5.72,0,1,0,1,0,Tolna Vármegye,0.0,770
18,0,4.75,4.5,4.75,4.25,70,73,80,-1,-1,77,47,-1,-1,-1,1,1,-1,0,0,0,3,6.98,1,5,0,3,1,Zala Vármegye,1.0,771
19,1,3.75,3.5,4.25,4.0,59,51,83,67,-1,-1,81,-1,0,-1,-1,0,-1,0,1,0,3,10.0,0,5,0,1,1,Budapest,1.0,772
19,0,3.5,2.25,3.75,4.5,88,64,87,88,-1,-1,62,-1,0,-1,-1,1,-1,0,1,0,1,5.84,1,4,0,1,0,Borsod-Abaúj-Zemplén Vármegye,0.0,773
19,0,3.25,4.5,4.25,4.5,92,74,82,-1,-1,79,78,-1,-1,-1,0,0,-1,1,1,0,2,3.69,1,3,0,1,1,Budapest,1.0,774
17,1,3.25,4.0,4.0,3.75,72,68,84,-1,83,-1,69,-1,-1,0,-1,0,-1,0,0,1,3,5.23,0,7,0,2,0,Jász-Nagykun-Szolnok Vármegye,0.0,775
17,1,3.75,4.5,4.0,3.75,69,83,74,72,-1,-1,-1,79,0,-1,-1,-1,0,1,0,0,2,4.24,1,3,1,2,1,Baranya Vármegye,1.0,776
19,0,3.75,4.5,4.0,3.0,53,58,79,-1,-1,75,54,-1,-1,-1,0,1,-1,0,0,0,2,8.1,0,2,0,2,0,Heves Vármegye,0.0,777
19,1,3.0,4.5,4.5,2.5,82,71,80,87,-1,-1,59,-1,0,-1,-1,1,-1,0,1,0,3,7.61,0,5,0,4,0,Budapest,1.0,778
18,1,3.25,3.0,4.25,4.0,44,40,38,57,-1,-1,85,-1,1,-1,-1,0,-1,0,1,0,3,8.87,1,7,0,2,0,Zala Vármegye,0.0,779
17,1,3.0,3.75,4.0,2.25,89,67,90,-1,-1,78,73,-1,-1,-1,1,0,-1,0,1,0,2,4.45,1,5,0,1,0,Bács-Kiskun Vármegye,0.0,780
18,1,3.25,4.5,3.5,3.5,72,84,74,-1,-1,76,74,-1,-1,-1,0,0,-1,0,1,1,3,6.43,0,5,0,1,1,Szabolcs-Szatmár-Bereg Vármegye,0.0,781
19,0,4.25,3.25,3.25,4.75,76,73,70,-1,-1,86,64,-1,-1,-1,0,0,-1,0,0,1,2,5.82,0,4,0,3,0,Budapest,1.0,782
18,0,3.75,4.75,4.0,4.25,89,93,91,-1,91,-1,89,-1,-1,0,-1,1,-1,0,0,0,2,5.52,0,6,0,1,0,Bács-Kiskun Vármegye,0.0,783
19,1,3.75,3.75,4.5,4.75,96,92,86,-1,90,-1,95,-1,-1,1,-1,0,-1,0,1,0,3,2.94,1,4,0,1,0,Békés Vármegye,0.0,784
18,1,4.75,4.0,3.75,4.25,88,90,67,73,-1,-1,87,-1,1,-1,-1,1,-1,0,0,0,1,4.69,1,5,0,2,0,Tolna Vármegye,1.0,785
18,0,4.5,4.75,4.5,3.5,82,88,83,63,-1,-1,82,-1,0,-1,-1,1,-1,0,0,1,4,6.31,0,4,0,1,0,Baranya Vármegye,0.0,786
18,1,4.0,3.0,4.75,3.0,78,56,65,93,-1,-1,79,-1,1,-1,-1,0,-1,0,0,0,2,5.24,1,6,0,4,1,Zala Vármegye,1.0,787
